Indicator	PUBLISH STATES	Year	WHO region	World Bank income group	Country	Sex	Display Value	Numeric	Low	High	Comments
Life expectancy at birth (years)	Published	2012	Europe	High-income	Iceland	Female	84	84.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Iceland	Female	24	24.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Israel	Male	75	75.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Israel	Male	21	21.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Israel	Both sexes	24	24.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Italy	Male	74	74.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Italy	Male	77	77.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Italy	Male	21	21.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Italy	Both sexes	25	25.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	High-income	Japan	Female	29	29.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	High-income	Japan	Both sexes	23	23.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	High-income	Japan	Both sexes	25	25.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	Republic of Korea	Female	76	76.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	Republic of Korea	Both sexes	72	72.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	High-income	Republic of Korea	Female	23	23.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	High-income	Kuwait	Male	74	74.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	High-income	Kuwait	Female	76	76.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	High-income	Kuwait	Female	18	18.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Luxembourg	Male	75	75.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Luxembourg	Both sexes	82	82.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Luxembourg	Male	20	20.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Luxembourg	Both sexes	25	25.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Monaco	Both sexes	80	80.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Monaco	Both sexes	24	24.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Malta	Female	78	78.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Malta	Female	80	80.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Malta	Both sexes	76	76.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Malta	Female	23	23.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Norway	Male	76	76.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Norway	Female	80	80.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	High-income	Nauru	Male	73	73.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	Nauru	Both sexes	73	73.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	High-income	Nauru	Both sexes	77	77.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	High-income	Nauru	Female	27	27.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	High-income	New Zealand	Both sexes	79	79.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	High-income	New Zealand	Female	24	24.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	High-income	Oman	Male	74	74.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	High-income	Oman	Female	70	70.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	High-income	Oman	Female	78	78.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	High-income	Oman	Male	17	17.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	High-income	Oman	Female	18	18.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	High-income	Oman	Female	22	22.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Portugal	Male	22	22.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Portugal	Both sexes	24	24.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	High-income	Qatar	Male	74	74.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	High-income	Qatar	Male	77	77.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	High-income	Qatar	Both sexes	77	77.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	High-income	Qatar	Both sexes	22	22.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	High-income	Saudi Arabia	Both sexes	73	73.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	San Marino	Male	78	78.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	San Marino	Male	82	82.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	San Marino	Female	85	85.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	San Marino	Male	20	20.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	San Marino	Male	22	22.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	San Marino	Female	25	25.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Slovakia	Male	66	66.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Slovakia	Both sexes	73	73.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Slovakia	Both sexes	76	76.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Slovenia	Male	70	70.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Slovenia	Female	83	83.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Slovenia	Both sexes	74	74.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Slovenia	Both sexes	19	19.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Slovenia	Both sexes	23	23.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Sweden	Both sexes	78	78.0			
Life expectancy at birth (years)	Published	2012	Americas	High-income	Trinidad and Tobago	Male	67	67.0			
Life expectancy at birth (years)	Published	1990	Americas	High-income	Trinidad and Tobago	Female	71	71.0			
Life expectancy at age 60 (years)	Published	1990	Americas	High-income	Trinidad and Tobago	Female	18	18.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	Low-income	Afghanistan	Both sexes	55	55.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	Low-income	Afghanistan	Female	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Low-income	Afghanistan	Female	17	17.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Burundi	Female	51	51.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Burundi	Male	15	15.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Benin	Male	51	51.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Benin	Male	53	53.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Benin	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Benin	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Burkina Faso	Male	48	48.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Burkina Faso	Male	49	49.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Burkina Faso	Both sexes	58	58.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Burkina Faso	Both sexes	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Burkina Faso	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	2000	South-East Asia	Low-income	Bangladesh	Both sexes	65	65.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Low-income	Bangladesh	Both sexes	70	70.0			
Life expectancy at age 60 (years)	Published	2000	South-East Asia	Low-income	Bangladesh	Female	18	18.0			
Life expectancy at age 60 (years)	Published	2012	South-East Asia	Low-income	Bangladesh	Female	19	19.0			
Life expectancy at age 60 (years)	Published	2000	South-East Asia	Low-income	Bangladesh	Both sexes	18	18.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Central African Republic	Female	50	50.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Central African Republic	Female	52	52.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Central African Republic	Both sexes	48	48.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Central African Republic	Female	15	15.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Central African Republic	Female	15	15.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Democratic Republic of the Congo	Female	50	50.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Democratic Republic of the Congo	Male	14	14.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Democratic Republic of the Congo	Female	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Democratic Republic of the Congo	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Comoros	Male	57	57.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Comoros	Male	60	60.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Comoros	Both sexes	59	59.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Comoros	Male	14	14.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Comoros	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Comoros	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Eritrea	Female	66	66.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Eritrea	Both sexes	48	48.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Eritrea	Female	17	17.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Ethiopia	Female	65	65.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Ethiopia	Both sexes	51	51.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Ethiopia	Female	17	17.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Ethiopia	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Ghana	Female	59	59.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Ghana	Female	64	64.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Ghana	Male	17	17.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Guinea	Male	57	57.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Guinea	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Guinea	Male	16	16.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Gambia	Both sexes	61	61.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Gambia	Female	17	17.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Gambia	Both sexes	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Gambia	Both sexes	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Guinea-Bissau	Female	15	15.0			
Life expectancy at birth (years)	Published	2000	Americas	Low-income	Haiti	Female	57	57.0			
Life expectancy at birth (years)	Published	2012	Americas	Low-income	Haiti	Female	64	64.0			
Life expectancy at age 60 (years)	Published	1990	Americas	Low-income	Haiti	Female	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Americas	Low-income	Haiti	Female	18	18.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Kenya	Both sexes	61	61.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Kenya	Male	16	16.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Kenya	Female	18	18.0			
Life expectancy at birth (years)	Published	1990	Europe	Low-income	Kyrgyzstan	Male	62	62.0			
Life expectancy at birth (years)	Published	2000	Europe	Low-income	Kyrgyzstan	Male	62	62.0			
Life expectancy at age 60 (years)	Published	1990	Europe	Low-income	Kyrgyzstan	Male	16	16.0			
Life expectancy at age 60 (years)	Published	2000	Europe	Low-income	Kyrgyzstan	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Europe	Low-income	Kyrgyzstan	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Low-income	Cambodia	Both sexes	54	54.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	Low-income	Cambodia	Both sexes	61	61.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	Low-income	Cambodia	Both sexes	72	72.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	Low-income	Cambodia	Both sexes	17	17.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	Low-income	Cambodia	Both sexes	20	20.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	Low-income	Lao People's Democratic Republic	Female	67	67.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	Low-income	Lao People's Democratic Republic	Female	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	Low-income	Lao People's Democratic Republic	Female	18	18.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Liberia	Male	50	50.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Liberia	Female	52	52.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Madagascar	Male	50	50.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Madagascar	Male	57	57.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Madagascar	Male	62	62.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Madagascar	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Mali	Female	57	57.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Mali	Both sexes	46	46.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Mali	Both sexes	14	14.0			
Life expectancy at birth (years)	Published	1990	South-East Asia	Low-income	Myanmar	Female	61	61.0			
Life expectancy at birth (years)	Published	2012	South-East Asia	Low-income	Myanmar	Female	68	68.0			
Life expectancy at age 60 (years)	Published	2000	South-East Asia	Low-income	Myanmar	Female	17	17.0			
Life expectancy at age 60 (years)	Published	2012	South-East Asia	Low-income	Myanmar	Female	17	17.0			
Life expectancy at age 60 (years)	Published	1990	South-East Asia	Low-income	Myanmar	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Mozambique	Male	52	52.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Mozambique	Female	45	45.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Mozambique	Female	49	49.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Mozambique	Female	54	54.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Mozambique	Male	14	14.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Mozambique	Male	16	16.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Mauritania	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Mauritania	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Mauritania	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Malawi	Both sexes	59	59.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Malawi	Male	14	14.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Malawi	Female	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Malawi	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Niger	Female	59	59.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Niger	Both sexes	43	43.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Niger	Female	15	15.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Low-income	Niue	Female	75	75.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	Low-income	Niue	Female	76	76.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	Low-income	Niue	Female	21	21.0			
Life expectancy at birth (years)	Published	2000	South-East Asia	Low-income	Nepal	Male	61	61.0			
Life expectancy at age 60 (years)	Published	1990	South-East Asia	Low-income	Nepal	Male	14	14.0			
Life expectancy at age 60 (years)	Published	1990	South-East Asia	Low-income	Nepal	Female	16	16.0			
Life expectancy at birth (years)	Published	2000	South-East Asia	Low-income	Democratic People's Republic of Korea	Male	60	60.0			
Life expectancy at birth (years)	Published	1990	South-East Asia	Low-income	Democratic People's Republic of Korea	Both sexes	70	70.0			
Life expectancy at age 60 (years)	Published	2000	South-East Asia	Low-income	Democratic People's Republic of Korea	Male	12	12.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Rwanda	Female	66	66.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Rwanda	Both sexes	48	48.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Rwanda	Both sexes	65	65.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Rwanda	Female	19	19.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Senegal	Female	59	59.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Senegal	Both sexes	57	57.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Senegal	Female	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Senegal	Female	17	17.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Sierra Leone	Male	11	11.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	Low-income	Somalia	Male	49	49.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	Low-income	Somalia	Both sexes	50	50.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	Low-income	Somalia	Both sexes	15	15.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	Low-income	South Sudan	Both sexes	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	Low-income	South Sudan	Both sexes	16	16.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Chad	Female	52	52.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Chad	Female	15	15.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Togo	Female	56	56.0			
Life expectancy at birth (years)	Published	2012	Europe	Low-income	Tajikistan	Both sexes	68	68.0			
Life expectancy at age 60 (years)	Published	1990	Europe	Low-income	Tajikistan	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Europe	Low-income	Tajikistan	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2000	Europe	Low-income	Tajikistan	Both sexes	17	17.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	United Republic of Tanzania	Both sexes	61	61.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	United Republic of Tanzania	Male	15	15.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Uganda	Female	46	46.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Uganda	Female	16	16.0			
Life expectancy at birth (years)	Published	2000	Europe	Low-income	Uzbekistan	Female	69	69.0			
Life expectancy at age 60 (years)	Published	2000	Europe	Low-income	Uzbekistan	Female	18	18.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	Low-income	Viet Nam	Male	66	66.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	Low-income	Viet Nam	Male	69	69.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	Low-income	Viet Nam	Male	71	71.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	Low-income	Viet Nam	Both sexes	22	22.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	Low-income	Yemen	Both sexes	58	58.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	Low-income	Yemen	Both sexes	64	64.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Zambia	Both sexes	43	43.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Zambia	Both sexes	41	41.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Zambia	Both sexes	57	57.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Zambia	Female	16	16.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Zimbabwe	Female	60	60.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Zimbabwe	Male	17	17.0			
